lap,laps_remaining,tire_age,compound,is_soft,is_medium,is_hard,expected_lap_time,pit
29,29,22,HARD,0,0,1,83.007,0
30,28,23,HARD,0,0,1,82.706,0
31,27,24,HARD,0,0,1,82.8035,0
32,26,25,HARD,0,0,1,82.989,0
33,25,26,HARD,0,0,1,83.04599999999999,1
33,25,0,HARD,0,0,1,82.6943275862069,0
34,24,1,HARD,0,0,1,89.8065,0
35,23,2,HARD,0,0,1,82.7645,0
36,22,3,HARD,0,0,1,82.57300000000001,0
37,21,4,HARD,0,0,1,82.581,0
38,20,5,HARD,0,0,1,82.663,0
39,19,6,HARD,0,0,1,82.767,0
40,18,7,HARD,0,0,1,82.221,0
41,17,8,HARD,0,0,1,82.759,0
42,16,9,HARD,0,0,1,81.8815,0
43,15,10,HARD,0,0,1,81.67699999999999,0
44,14,11,HARD,0,0,1,81.583,0
45,13,12,HARD,0,0,1,81.713,0
46,12,13,HARD,0,0,1,81.74,0
47,11,14,HARD,0,0,1,81.976,0
48,10,15,HARD,0,0,1,81.837,0
49,9,16,HARD,0,0,1,81.951,0
50,8,17,HARD,0,0,1,82.06,0
51,7,18,HARD,0,0,1,82.1065,0
52,6,19,HARD,0,0,1,82.229,0
53,5,20,HARD,0,0,1,82.697,0
54,4,21,HARD,0,0,1,82.947,0
55,3,22,HARD,0,0,1,83.007,0
56,2,23,HARD,0,0,1,82.706,0
57,1,24,HARD,0,0,1,82.8035,1
1,57,0,MEDIUM,0,1,0,83.14475,0
2,56,1,MEDIUM,0,1,0,83.953,0
3,55,2,MEDIUM,0,1,0,83.165,0
4,54,3,MEDIUM,0,1,0,83.272,0
5,53,4,MEDIUM,0,1,0,83.31,0
6,52,5,MEDIUM,0,1,0,83.119,0
7,51,6,MEDIUM,0,1,0,82.804,0
8,50,7,MEDIUM,0,1,0,83.019,0
9,49,8,MEDIUM,0,1,0,82.974,1
9,49,0,HARD,0,0,1,82.6943275862069,0
10,48,1,HARD,0,0,1,89.8065,0
11,47,2,HARD,0,0,1,82.7645,0
12,46,3,HARD,0,0,1,82.57300000000001,0
13,45,4,HARD,0,0,1,82.581,0
14,44,5,HARD,0,0,1,82.663,0
15,43,6,HARD,0,0,1,82.767,0
16,42,7,HARD,0,0,1,82.221,0
17,41,8,HARD,0,0,1,82.759,0
18,40,9,HARD,0,0,1,81.8815,0
19,39,10,HARD,0,0,1,81.67699999999999,0
20,38,11,HARD,0,0,1,81.583,0
21,37,12,HARD,0,0,1,81.713,0
22,36,13,HARD,0,0,1,81.74,0
23,35,14,HARD,0,0,1,81.976,0
24,34,15,HARD,0,0,1,81.837,0
25,33,16,HARD,0,0,1,81.951,0
26,32,17,HARD,0,0,1,82.06,0
27,31,18,HARD,0,0,1,82.1065,0
28,30,19,HARD,0,0,1,82.229,0
29,29,20,HARD,0,0,1,82.697,0
30,28,21,HARD,0,0,1,82.947,0
31,27,22,HARD,0,0,1,83.007,0
32,26,23,HARD,0,0,1,82.706,0
33,25,24,HARD,0,0,1,82.8035,0
34,24,25,HARD,0,0,1,82.989,0
35,23,26,HARD,0,0,1,83.04599999999999,0
36,22,27,HARD,0,0,1,83.446,1
36,22,0,HARD,0,0,1,82.6943275862069,0
37,21,1,HARD,0,0,1,89.8065,0
38,20,2,HARD,0,0,1,82.7645,0
39,19,3,HARD,0,0,1,82.57300000000001,0
40,18,4,HARD,0,0,1,82.581,0
41,17,5,HARD,0,0,1,82.663,0
42,16,6,HARD,0,0,1,82.767,0
43,15,7,HARD,0,0,1,82.221,0
44,14,8,HARD,0,0,1,82.759,0
45,13,9,HARD,0,0,1,81.8815,0
46,12,10,HARD,0,0,1,81.67699999999999,0
47,11,11,HARD,0,0,1,81.583,0
48,10,12,HARD,0,0,1,81.713,0
49,9,13,HARD,0,0,1,81.74,0
50,8,14,HARD,0,0,1,81.976,0
51,7,15,HARD,0,0,1,81.837,0
52,6,16,HARD,0,0,1,81.951,0
53,5,17,HARD,0,0,1,82.06,0
54,4,18,HARD,0,0,1,82.1065,0
55,3,19,HARD,0,0,1,82.229,0
56,2,20,HARD,0,0,1,82.697,0
57,1,21,HARD,0,0,1,82.947,0
58,0,22,HARD,0,0,1,83.007,0
1,57,0,MEDIUM,0,1,0,83.14475,0
2,56,1,MEDIUM,0,1,0,83.953,0
3,55,2,MEDIUM,0,1,0,83.165,0
4,54,3,MEDIUM,0,1,0,83.272,0
5,53,4,MEDIUM,0,1,0,83.31,0
6,52,5,MEDIUM,0,1,0,83.119,1
6,52,0,HARD,0,0,1,82.6943275862069,0
7,51,1,HARD,0,0,1,89.8065,0
8,50,2,HARD,0,0,1,82.7645,0
9,49,3,HARD,0,0,1,82.57300000000001,0
10,48,4,HARD,0,0,1,82.581,0
11,47,5,HARD,0,0,1,82.663,0
12,46,6,HARD,0,0,1,82.767,0
13,45,7,HARD,0,0,1,82.221,0
14,44,8,HARD,0,0,1,82.759,0
15,43,9,HARD,0,0,1,81.8815,0
16,42,10,HARD,0,0,1,81.67699999999999,0
17,41,11,HARD,0,0,1,81.583,0
18,40,12,HARD,0,0,1,81.713,0
19,39,13,HARD,0,0,1,81.74,0
20,38,14,HARD,0,0,1,81.976,0
21,37,15,HARD,0,0,1,81.837,0
22,36,16,HARD,0,0,1,81.951,0
23,35,17,HARD,0,0,1,82.06,0
24,34,18,HARD,0,0,1,82.1065,0
25,33,19,HARD,0,0,1,82.229,0
26,32,20,HARD,0,0,1,82.697,0
27,31,21,HARD,0,0,1,82.947,1
27,31,0,HARD,0,0,1,82.6943275862069,0
28,30,1,HARD,0,0,1,89.8065,0
29,29,2,HARD,0,0,1,82.7645,0
30,28,3,HARD,0,0,1,82.57300000000001,0
31,27,4,HARD,0,0,1,82.581,0
32,26,5,HARD,0,0,1,82.663,0
33,25,6,HARD,0,0,1,82.767,0
34,24,7,HARD,0,0,1,82.221,0
35,23,8,HARD,0,0,1,82.759,0
36,22,9,HARD,0,0,1,81.8815,0
37,21,10,HARD,0,0,1,81.67699999999999,0
38,20,11,HARD,0,0,1,81.583,0
39,19,12,HARD,0,0,1,81.713,0
40,18,13,HARD,0,0,1,81.74,0
41,17,14,HARD,0,0,1,81.976,0
42,16,15,HARD,0,0,1,81.837,0
43,15,16,HARD,0,0,1,81.951,0
44,14,17,HARD,0,0,1,82.06,0
45,13,18,HARD,0,0,1,82.1065,0
46,12,19,HARD,0,0,1,82.229,0
47,11,20,HARD,0,0,1,82.697,0
48,10,21,HARD,0,0,1,82.947,0
49,9,22,HARD,0,0,1,83.007,0
50,8,23,HARD,0,0,1,82.706,0
51,7,24,HARD,0,0,1,82.8035,0
52,6,25,HARD,0,0,1,82.989,0
53,5,26,HARD,0,0,1,83.04599999999999,0
